Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection

2021-04-25;Andorre;13024;124;12458;0.95;95.65;3.39

2021-04-25;Émirats Arabes Unis;510738;1571;492109;0.31;96.35;3.34

2021-04-25;Afghanistan;58730;2572;52489;4.38;89.37;6.25

2021-04-25;Antigua-et-Barbuda;1227;31;1002;2.53;81.66;15.81

2021-04-25;Albanie;130409;2372;105016;1.82;80.53;17.65

2021-04-25;Arménie;213288;4018;194080;1.88;90.99;7.12

2021-04-25;Angola;25492;577;23092;2.26;90.59;7.15

2021-04-25;Argentine;2845872;61474;2496277;2.16;87.72;10.12

2021-04-25;Autriche;608979;10087;573155;1.66;94.12;4.23

2021-04-25;Australie;29666;910;23198;3.07;78.20;18.74

2021-04-25;Azerbaïdjan;311465;4342;276934;1.39;88.91;9.69

2021-04-25;Bosnie-Herzégovine;194733;8203;153408;4.21;78.78;17.01

2021-04-25;Barbade;3824;44;3726;1.15;97.44;1.41

2021-04-25;Bangladesh;745322;11053;657452;1.48;88.21;10.31

2021-04-25;Belgique;972041;23990;0;2.47;0.00;97.53

2021-04-25;Burkina Faso;13252;156;12907;1.18;97.40;1.43

2021-04-25;Bulgarie;397100;15859;324386;3.99;81.69;14.32

2021-04-25;Bahreïn;170335;620;159198;0.36;93.46;6.17

2021-04-25;Burundi;3805;6;773;0.16;20.32;79.53

2021-04-25;Bénin;7720;97;7510;1.26;97.28;1.46

2021-04-25;Saint Barthélemy;958;1;462;0.10;48.23;51.67

2021-04-25;Brunéi Darussalam;223;3;210;1.35;94.17;4.48

2021-04-25;Bolivie;297185;12812;244881;4.31;82.40;13.29

2021-04-25;Brésil;14308215;389492;12606011;2.72;88.10;9.17

2021-04-25;Bahamas;10050;196;9262;1.95;92.16;5.89

2021-04-25;Bhoutan;1022;1;927;0.10;90.70;9.20

2021-04-25;Botswana;45855;691;41338;1.51;90.15;8.34

2021-04-25;Bélarus;352950;2493;343557;0.71;97.34;1.95

2021-04-25;Belize;12599;321;12168;2.55;96.58;0.87

2021-04-25;Canada;1181182;23915;1075213;2.02;91.03;6.95

2021-04-25;Rép. Dém. du Congo;29576;756;26156;2.56;88.44;9.01

2021-04-25;République Centrafricaine;6224;85;5112;1.37;82.13;16.50

2021-04-25;Congo (Brazzaville);10084;139;8208;1.38;81.40;17.23

2021-04-25;Suisse;646509;10595;317600;1.64;49.13;49.24

2021-04-25;Côte d'Ivoire;45820;281;45343;0.61;98.96;0.43

2021-04-25;Chili;1169536;25856;1099918;2.21;94.05;3.74

2021-04-25;Cameroun;65998;991;35261;1.50;53.43;45.07

2021-04-25;Chine;90588;4636;85640;5.12;94.54;0.34

2021-04-25;Colombie;2757274;70886;2573657;2.57;93.34;4.09

2021-04-25;Costa Rica;238760;3143;199982;1.32;83.76;14.93

2021-04-25;Cuba;100318;581;93948;0.58;93.65;5.77

2021-04-25;Cap-vert;22094;201;19109;0.91;86.49;12.60

2021-04-25;Chypre;61576;298;39061;0.48;63.44;36.08

2021-04-25;République Tchèque;1619383;28962;1524146;1.79;94.12;4.09

